image_name,type,brand_name,product_name,price(¥ or €)
2022-11-20_18.45.51__1.jpg,Skirts,Miu Miu,带缀饰你迷半裙,27280
2022-11-20_18.45.51__1.jpg,Knitwear,Miu Miu,单排扣刺绣外套,38600
